"id","preparationPercent","lat","long","postalCode","investorId","villageId","provinceName","regencyName","districtName","villageName","createdAt","updatedAt","districtId","provinceId","regencyId","preparationEnd","preparationStart","statusId"
"02.SK.6706","20","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:17.045","2026-02-05 01:05:17.045",,,,,,"3"
"02.SK.6707","0","0","0",,,,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","PULAU PADAELO","2026-02-05 01:05:17.002","2026-02-05 01:05:17.002",,,,,,"1"
"02.SK.6708","50","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.98","2026-02-05 01:05:16.98",,,,,,"3"
"02.SK.6709","20","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.936","2026-02-05 01:05:16.936",,,,,,"3"
"02.SK.6710","0","0","0",,,,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","PULAU HARAPAN","2026-02-05 01:05:16.892","2026-02-05 01:05:16.892",,,,,,"1"
"02.SK.6711","20","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.87","2026-02-05 01:05:16.87",,,,,,"3"
"02.SK.6712","20","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.827","2026-02-05 01:05:16.827",,,,,,"3"
"02.SK.6713","0","0","0",,,,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.784","2026-02-05 01:05:16.784",,,,,,"1"
"02.SK.6714","0","0","0",,,,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.76","2026-02-05 01:05:16.76",,,,,,"1"
"02.SK.6715","40","0","0",,"INVSG4EBYW",,"Belum diisi","Belum diisi","Belum diisi","PULAU BUHUNG PITUE","2026-02-05 01:05:16.738","2026-02-05 01:05:16.738",,,,,,"3"
"02.SK.6716","0","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.694","2026-02-05 01:05:16.694",,,,,,"3"
"02.SK.6717","0","0","0",,"INVSG4EBYW",,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.649","2026-02-05 01:05:16.649",,,,,,"3"
"02.SK.6718","0","0","0",,,,"SULAWESI SELATAN","KAB. SINJAI","PULAU SEMBILAN","Belum diisi","2026-02-05 01:05:16.554","2026-02-05 01:05:16.554",,,,,,"1"
"02.SK.6719","80","0","0",,"INVS1OQR03",,"BALI","KAB. KLUNGKUNG","NUSA PENIDA","SAKTI","2026-02-05 01:05:16.21","2026-02-05 01:05:16.21",,,,,,"3"
"02.SK.6720","10","0","0",,"INVSO35TFO",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","UTAN","Belum diisi","2026-02-05 01:05:16.159","2026-02-05 01:05:16.159",,,,,,"3"
"02.SK.6721","10","0","0",,"INVSO35TFO",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","BATU LANTEH","TEPAL","2026-02-05 01:05:16.116","2026-02-05 01:05:16.116",,,,,,"3"
"02.SK.6722","10","0","0",,"INVSO35TFO",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","BATU LANTEH","KELUNGKUNG","2026-02-05 01:05:16.053","2026-02-05 01:05:16.053",,,,,,"3"
"02.SK.6723","10","0","0",,"INVSO35TFO",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","PLAMPANG","Belum diisi","2026-02-05 01:05:16.007","2026-02-05 01:05:16.007",,,,,,"3"
"02.SK.6724","10","0","0",,"INVSO35TFO",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","ALAS BARAT","MAPIN REA","2026-02-05 01:05:15.955","2026-02-05 01:05:15.955",,,,,,"3"
"02.SK.6725","45","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","RHEE","LUK","2026-02-05 01:05:15.906","2026-02-05 01:05:15.906",,,,,,"3"
"02.SK.6726","55","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","UNTER IWES","KEREKEH","2026-02-05 01:05:15.863","2026-02-05 01:05:15.863",,,,,,"3"
"02.SK.6727","35","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","LOPOK","BERORA","2026-02-05 01:05:15.819","2026-02-05 01:05:15.819",,,,,,"3"
"02.SK.6728","35","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","LANTUNG","PADESA","2026-02-05 01:05:15.772","2026-02-05 01:05:15.772",,,,,,"3"
"02.SK.6729","35","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","LANTUNG","SEPUKUR","2026-02-05 01:05:15.726","2026-02-05 01:05:15.726",,,,,,"3"
"02.SK.6730","35","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","EMPANG","BOAL","2026-02-05 01:05:15.67","2026-02-05 01:05:15.67",,,,,,"3"
"02.SK.6731","35","0","0",,"INVSIUPECU",,"NUSA TENGGARA BARAT","KAB. SUMBAWA","EMPANG","PAMANTO","2026-02-05 01:05:15.626","2026-02-05 01:05:15.626",,,,,,"3"
